[2023-12-24T19:43:29.800Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:43:29.801Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:43:34.818Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:43:34.828Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:43:34.871Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:43:34.876Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:43:34.895Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:43:34.897Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:44:05.755Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:44:05.769Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:44:05.811Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:44:05.814Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:44:05.828Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:44:05.831Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:46:04.761Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:46:04.767Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:46:04.795Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:46:04.798Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:46:04.813Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:46:04.815Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:49:29.986Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:49:29.998Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:49:30.026Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:49:30.030Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:49:30.047Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:49:30.049Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:50:39.286Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:50:39.353Z] [INFO] Method: POST | URL: /api/products | Request Body: undefined
[2023-12-24T19:50:39.389Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:50:39.391Z] [INFO] Method: GET | URL: /api/products | Request Body: 
[2023-12-24T19:50:39.419Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:50:39.421Z] [INFO] Method: GET | URL: /api/products/1 | Request Body: 
[2023-12-24T19:50:39.437Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
[2023-12-24T19:50:39.438Z] [INFO] Method: GET | URL: /api/products/999 | Request Body: 
